name, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, RotX, RotY, RotZ,,,,,,
BreakableBlock,2,0,-4,2,2,2,0,0,0,0,0,,,,
BreakableBlock,16,2,-12,2,2,2,0,0,0,0,0,,,,
BreakableBlock,2,0,6,2,2,2,0,0,0,0,0,,,,
BreakableBlock,2,0,2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-2,0,4,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-12,2,-16,2,2,2,0,0,0,0,0,,,,
BreakableBlock,2,0,-2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,4,0,-4,2,2,2,0,0,0,0,0,,,,
BreakableBlock,6,0,2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-15,1,-15,4,4,4,0,180,0,0,0,,,,
BreakableBlock,-2,0,6,2,2,2,0,0,0,0,0,,,,
BreakableBlock,0,0,4,2,2,2,0,0,0,0,0,,,,
BreakableBlock,0,0,-4,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-4,0,0,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-12,2,16,2,2,2,0,0,0,0,0,,,,
BreakableBlock,-6,0,-2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,16,2,12,2,2,2,0,0,0,0,0,,,,
BreakableBlock,4,0,0,2,2,2,0,0,0,0,0,,,,
BreakableBlock,6,0,0,2,2,2,0,0,0,0,0,,,,
BreakableBlock,4,0,2,2,2,2,0,0,0,0,0,,,,
BreakableBlock,0,0,-6,2,2,2,0,0,0,0,0,,,,
BreakableBlock,2,0,4,2,2,2,0,0,0,0,0,,,,
Bumper,10,2,0,2,2,2,0,0,0,,,,,,
Bumper,-10,2,0,2,2,2,0,0,0,,,,,,
MovingBlock,-4,2,-10,2,2,2,0,0,0,4,2,-10,2,0,Bumper
MovingBlock,4,2,10,2,2,2,0,0,0,-4,2,10,2,0,Bumper
Player,-10,2,-10,1,1,1,0,45,0,1,,,,,
Player,10,2,10,1,1,1,0,225,0,2,,,,,
Player,-10,2,10,1,1,1,0,135,0,3,,,,,
Player,10,2,-10,1,1,1,0,315,0,4,,,,,
Reflector,-6,2,-6,1,2,1,0,0,0,,,,,,
Reflector,6,2,6,1,2,1,0,0,0,,,,,,
Reflector,-6,2,6,1,2,1,0,0,0,,,,,,
Reflector,6,2,-6,1,2,1,0,0,0,,,,,,
